Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",161.610000,-88.400000,0.000000,top
"C2","100nF","C_0805_2012Metric",165.590000,-101.600000,0.000000,top
"C3","100nF","C_0805_2012Metric",168.490000,-87.400000,0.000000,top
"C4","10uF","CP_Elec_5x3",121.466300,-111.952500,-90.000000,top
"C5","100nF","C_0805_2012Metric",150.880000,-116.005000,0.000000,top
"C6","100nF","C_0805_2012Metric",121.843800,-104.455000,90.000000,top
"C7","2.2nF","C_0805_2012Metric",150.735000,-92.440000,0.000000,top
"C8","10uF","CP_Elec_5x3",132.503800,-105.205000,90.000000,top
"C9","1uF","C_0805_2012Metric",154.941200,-92.440000,0.000000,top
"C10","100uF","CP_Elec_5x3",147.243800,-106.045000,-90.000000,top
"C11","10uF","CP_Elec_5x3",139.623800,-105.705000,90.000000,top
"C12","100uF","CP_Elec_5x3",135.706300,-111.952500,-90.000000,top
"C13","10uF","CP_Elec_5x3",128.856300,-112.452500,-90.000000,top
"C14","100nF","C_0805_2012Metric",124.653800,-104.427500,90.000000,top
"C15","100nF","C_0805_2012Metric",127.663800,-104.427500,90.000000,top
"C16","4.7uF","C_0805_2012Metric",137.580000,-70.440000,-90.000000,top
"C17","100nF","C_0805_2012Metric",140.070000,-70.440000,-90.000000,top
"C18","4.7uF","C_0805_2012Metric",138.030000,-86.260000,-90.000000,top
"C19","100nF","C_0805_2012Metric",140.570000,-86.260000,-90.000000,top
"C20","10uF","C_0805_2012Metric",124.970000,-82.830000,-90.000000,top
"C21","100nF","C_0805_2012Metric",124.870000,-86.270000,-90.000000,top
"C22","10uF","C_0805_2012Metric",125.330000,-76.750000,90.000000,top
"C23","1nF","C_0805_2012Metric",159.390000,-82.780000,180.000000,top
"C24","10uF","C_0805_2012Metric",132.490000,-86.270000,-90.000000,top
"C25","100nF","C_0805_2012Metric",134.990000,-86.270000,-90.000000,top
"C26","1uF","C_0805_2012Metric",128.410000,-76.240000,-90.000000,top
"C27","100nF","C_0805_2012Metric",159.390000,-72.620000,0.000000,top
"C28","100nF","C_0805_2012Metric",159.390000,-85.320000,0.000000,top
"C29","10uF","C_0805_2012Metric",143.110000,-86.270000,-90.000000,top
"C30","1uF","C_0805_2012Metric",131.450000,-76.240000,-90.000000,top
"C31","100nF","C_0805_2012Metric",145.650000,-86.270000,-90.000000,top
"C32","10uF","C_0805_2012Metric",152.770000,-86.270000,-90.000000,top
"C33","100nF","C_0805_2012Metric",155.810000,-86.270000,-90.000000,top
"D1","MP-2016-1100-27-90","LED_MP-2016-1100-27-90",145.920000,-97.520000,180.000000,top
